Estado,Nome da campanha,Código do status,Status,Tipo,Segmentação,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Alcance por domicílio
PAUSADO,Campanha de Palavra-Chave- L1618-T-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Produto Indicado- L2450-AML-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,campanha automática individual- P3050-o102/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- L1618-A-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Produto Indicado- L2440-AML-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Produto Indicado- L2470-B-o115/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,campanha automática individual- L2450-AML-o102/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
ATIVADO,Campanha de Palavra-Chave Cinzeiros,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Campanhas Manuais Claude,Lances fixos,29/07/2026,,,"R$ 5,00","R$ 5,00",41,0,"0,50",0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- L2470-CZ-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
ATIVADO,Campanha automática individual EGC,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,campanha automatica individual,Lances fixos,11/08/2026,,,"R$ 5,00","R$ 5,00",545,0,0,1,"0,0018","R$ 0,73","R$ 0,73","R$ 0,73","R$ 0,73",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Produto Indicado- P4080-o115/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- SP-01-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- P3050-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
