Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,Q3060-B,B0H51M7C59,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,308,4,1.2987%,0.75000,3.00,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P1623,B0H4WYYG1W,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,174,2,1.1494%,0.79500,1.59,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4070RA,B0H4NGLNQ4,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,404,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 30 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2450-B,B0H6KLWTPC,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,81,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2470-B,B0H4W81CPN,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,447,3,0.6711%,0.79333,2.38,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 30 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2450-A,B0H6XYVBKH,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,56,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 30 de ago. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,SP-PP,B0H5X97DR7,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,2,1,50.0000%,0.82000,0.82,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,SP-PP,B0H5X97DR7,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,1148,2,0.1742%,0.77500,1.55,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""234950194216241""",campanha automática individual- SP-PP-o425/08,"=""559914515436204""",campanha automática individual- SP-PP-o425/08,SP-PP,B0H5X97DR7,,AMAZON_BR,1383289894499,campanha automatica individual,BRL,11022,6,0.0544%,1.21167,7.27,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3060-B,B0H6KK21H1,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,89,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L1623,B0H5N4TR7B,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,50,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2460-AML,B0H6NM3QBS,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,62,2,3.2258%,0.80000,1.60,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L4070-B,B0H6H5CBPP,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,48,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,"=""197709452963098""",Campanha de Palavra-Chave Cinzeiros,L2450--CZ,B0H5YQ9JMJ,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,39,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2450--CZ,B0H5YQ9JMJ,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,216,2,0.9259%,0.40500,0.81,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,PG2470,B0H7T71WHG,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,423,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4050,B0H5MWNDKW,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,262,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P3070,B0H63FKGPJ,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,909,5,0.5501%,0.78000,3.90,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,P3070,B0H63FKGPJ,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,6053,17,0.2809%,1.04353,17.74,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,Q3060-A,B0H51P391G,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,219,1,0.4566%,0.79000,0.79,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4070ALC,B0H6H1W988,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,252,1,0.3968%,0.65000,0.65,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,PG2460,B0H5MDZQDG,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,470,2,0.4255%,0.80000,1.60,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2460-A,B0H6QYTSNV,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,71,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3085-B,B0H51PF33S,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,162,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P2425,B0H7LG2168,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,618,2,0.3236%,0.68500,1.37,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3060-A,B0H6R5SYVL,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,388,2,0.5155%,0.85500,1.71,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 30 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2440-AML,B0H4RY2L65,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,44,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P2025,B0H7L6HYFW,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,396,3,0.7576%,0.78667,2.36,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 28 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,13,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,"=""246454765415283""",Campanha - Extintor Palavra-Chave Exato Manual,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,36,3,8.3333%,0.73667,2.21,203.54,92.09955,1,1,33.3333%
24 de ago. de 2026 - 31 de ago. de 2026,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,"=""261168792220999""",Campanha de Produto Indicado- PXM-o311/08,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,164,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""163724971822822""",campanha automática individual- PXM-o425/08,"=""560459911677559""",campanha automática individual- PXM-o425/08,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,1383289894499,campanha automatica individual,BRL,547,2,0.3656%,1.01000,2.02,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2430-A,B0H6XM9LGJ,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,161,0,0.0000%,,0.00,0.00,,0,0,
