Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
24 de ago. de 2026 - 25 de ago. de 2026,"=""58296046930587""",campanha automática individual- PG3070-o425/08,"=""476720209289154""",campanha automática individual- PG3070-o425/08,,substitutes,TARGETING_EXPRESSION_PREDEFINED,529792191250439,0.55,1383289894499,campanha automatica individual,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
24 de ago. de 2026 - 24 de ago. de 2026,"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,"=""107384110271466""",Campanha de Produto Indicado- PXP-o103/07,,"asin-expanded=""B0G497Z2WM""",TARGETING_EXPRESSION,82144708719757,0.92,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
25 de ago. de 2026 - 31 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B07J2MT48B""",TARGETING_EXPRESSION,88873497994320,1.1,146788124202114,campanha de produto indicado,BRL,137,0,0.0000%,,0.00,0.00,0,,0,
30 de ago. de 2026 - 30 de ago. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,,"asin-expanded=""B0H1VC85TJ""",TARGETING_EXPRESSION,115391086849067,0.66,146788124202114,campanha de produto indicado,BRL,1,0,0.0000%,,0.00,0.00,0,,0,
27 de ago. de 2026 - 29 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0FNRL7TG1""",TARGETING_EXPRESSION,80258632460811,0.78,146788124202114,campanha de produto indicado,BRL,8,0,0.0000%,,0.00,0.00,0,,0,
28 de ago. de 2026 - 30 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0GKLJD5FW""",TARGETING_EXPRESSION,61563373342375,0.78,146788124202114,campanha de produto indicado,BRL,5,0,0.0000%,,0.00,0.00,0,,0,
24 de ago. de 2026 - 30 de ago. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,,"asin-expanded=""B00S68E4FA""",TARGETING_EXPRESSION,111255765814277,0.66,146788124202114,campanha de produto indicado,BRL,5,0,0.0000%,,0.00,0.00,0,,0,
26 de ago. de 2026 - 30 de ago. de 2026,"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,"=""285629207112751""",campanha automática inidividual- L1618-A-o115/07,,complements,TARGETING_EXPRESSION_PREDEFINED,376653720943811,0.53,1383289894499,campanha automatica individual,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
25 de ago. de 2026 - 30 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0H4X43F5T""",TARGETING_EXPRESSION,274920789778429,0.78,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,,"asin-expanded=""B0C5PLHDRL""",TARGETING_EXPRESSION,253439354589488,0.66,146788124202114,campanha de produto indicado,BRL,16,0,0.0000%,,0.00,0.00,0,,0,
