Data inicial,Data de término,País,Termo de pesquisa do cliente,Classificação de impressão de termo de pesquisa,Parcela de impressões de termo de pesquisa,Palavra-chave,Tipo de correspondência,Nome do portfólio,Nome da campanha,Nome do grupo de anúncios,Moeda,Cliques,Impressões,Taxa de cliques (CTR),Gastos,Custo por clique (CPC),Total de pedidos em 7 dias (N.º),"Total de vendas em 7 dias ","Total do custo de publicidade das vendas (ACOS) ",Retorno total sobre gastos com anúncios (ROAS),Taxa de conversão em 7 dias
"Jul 25, 2026","Aug 23, 2026",Brasil,basculante,1,33.330%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,8,12.500%,R$0.24,R$0.24,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira com pedal 50 litros,32,0.080%,lixeira com pedal 50 litros,EXACT,campanha de palavra chave,campanha de palavra chave- P3060-o116/07,campanha de palavra chave- P3060-o116/07,BRL,1,8,12.500%,R$2.52,R$2.52,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira com pedal 50 litros inox retangular,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,3,8,37.500%,R$2.06,R$0.69,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox 10l,7,4.680%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,8,12.500%,R$0.63,R$0.63,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox basculante grande,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,8,12.500%,R$0.68,R$0.68,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixo inox 50l,1,66.670%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,8,12.500%,R$1.07,R$1.07,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b09c6mfcnn,8,4.550%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.66,R$0.66,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b09ydlc69d,17,0.400%,"asin-expanded=""B09YDLC69D""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,7,14.290%,R$0.68,R$0.68,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0c5jxvdrv,1,58.33000000000001%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,6,16.669999999999998%,R$0.8,R$0.8,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0c5jxvdrv,1,58.33000000000001%,"asin-expanded=""B076VYNP9W""",-,campanha de produto indicado,Campanha de Produto Indicado- L1618-T-o103/07,Campanha de Produto Indicado- L1618-T-o103/07,BRL,1,1,100.000%,R$0.31,R$0.31,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h2zjktfn,2,24.140%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.76,R$0.76,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira basculante 3l,1,63.63999999999999%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.82,R$0.82,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira basculante banheiro,10,2.500%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.77,R$0.77,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira com cinzeiro,1,100.000%,lixeira com cinzeiro,EXACT,Campanhas Manuais Claude,Campanha de Palavra-Chave Cinzeiros,Campanha de Palavra-Chave Cinzeiros,BRL,1,7,14.290%,R$0.28,R$0.28,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira cozinha pia tampa,1,77.780%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.68,R$0.68,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira de embutir de inox,1,87.500%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.71,R$0.71,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira dourada,12,1.320%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.79,R$0.79,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox 40 litros com aro sem tampa brinox,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.33,R$0.33,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox 40l,1,77.780%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o115/07,BRL,1,7,14.290%,R$0.8,R$0.8,0,R$0.0,,0.0,0.000%
