Estado,Nome da campanha,Código do status,Status,Tipo,Segmentação,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Compras,Vendas (convertido),Vendas,ACOS,ROAS
PAUSADO,Campanha de Categoria- P4080-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- P3050-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- L2450--CZ-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha automática inidividual- L1618-o115/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",30,<5%,0,1,"0,0333","R$ 0,48","R$ 0,48","R$ 0,48","R$ 0,48",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automática individual- L1618-T-o130/06,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (somente redução),15/06/2026,,,"R$ 5,00","R$ 5,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automatica individual- P3060-o115/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),12/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,campanha automática individual- PG3070-o115/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",233,<5%,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,campanha automática individual- SP-PP-o116/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",24648,<5%,0,16,"0,0006","R$ 16,13","R$ 16,13","R$ 1,01","R$ 1,01",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automática individual- P4080-o115/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automática individual- P3070-o116/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 5,00","R$ 5,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automática individual- L2470-B-o115/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,campanha de produto indicado-P3060-o115/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),12/06/2026,,,"R$ 10,00","R$ 10,00",421,<5%,0,1,"0,0024","R$ 0,10","R$ 0,10","R$ 0,10","R$ 0,10",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automática individual- L2030-B-o115/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha de Produto Indicado- PXP-o103/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",303,"16,67%",0,2,"0,0066","R$ 1,31","R$ 1,31","R$ 0,66","R$ 0,66",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,campanha automática individual- PXM-o228/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 20,00","R$ 20,00",1025,<5%,0,5,"0,0049","R$ 5,44","R$ 5,44","R$ 1,09","R$ 1,09",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automática individual- L2450--CZ-o116/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
