ID do portfólio,Nome do portfólio,Identificador da campanha,Nome da campanha,Valor do orçamento da campanha,Tipo de orçamento da campanha,Estratégia de lances da campanha,Moeda do orçamento,Intervalo de datas,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra
178029480993742,campanha de palavra chave,"=""19556674217425""",Campanha de Palavra-Chave- P3070-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,423,2,0.4728%,1.37500,2.75,0.00,0.00000,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,8,DAILY_BUDGET,manual,BRL,30 de jul. de 2026 - 23 de ago. de 2026,271,0,0.0000%,,0.00,0.00,,0,0,0.0000%
1383289894499,campanha automatica individual,"=""163724971822822""",campanha automática individual- PXM-o228/07,20,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,2075,7,0.3373%,1.00857,7.06,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""191419563474871""",Campanha de Produto Indicado- SP-01-o228/07,40,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 5 de ago. de 2026,361,1,0.2770%,0.75000,0.75,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""126822188430843""",Campanha de Produto Indicado- L2450--CZ-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,1047,3,0.2865%,0.84667,2.54,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""127101313485538""",Campanha de Palavra-Chave- L2450--CZ-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,7 de ago. de 2026 - 7 de ago. de 2026,0,0,,,0.00,0.00,,0,0,
1383289894499,campanha automatica individual,"=""6383857296458""",campanha automática individual- P3050-o102/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,1115,8,0.7175%,0.88750,7.10,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""58296046930587""",campanha automática individual- PG3070-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,586,1,0.1706%,0.75000,0.75,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""125746095085649""",Campanha de Palavra-Chave- L1618-T-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,236,2,0.8475%,1.01000,2.02,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""227010809046493""",campanha automática individual- L2470-CZ-o102/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,689,2,0.2903%,1.46500,2.93,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o228/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,682,1,0.1466%,0.79000,0.79,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""190353171933793""",Campanha de Palavra-Chave- SP-PP-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,6 de ago. de 2026 - 7 de ago. de 2026,6,0,0.0000%,,0.00,0.00,,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro,5,DAILY_BUDGET,manual,BRL,4 de ago. de 2026 - 23 de ago. de 2026,714,6,0.8403%,1.38833,8.33,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,905,1,0.1105%,0.59000,0.59,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""68539107677740""",Campanha de Palavra-Chave- L1618-A-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,65,1,1.5385%,1.06000,1.06,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""60867425277707""",campanha automática inidividual- PXP-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,5322,8,0.1503%,0.84000,6.72,0.00,0.00000,0,0,0.0000%
