ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H5X821QS,B0H5X821QS,Coletor de Bitucas Space Fixa em Aço Inox Circular Prateada com Tampa para Áreas Externas,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H5X97DR7,B0H5X97DR7,Coletor de Bitucas Space de Parede em Aço Inox Polido com Tampa e Fixação para Paredes,3,1.05%,3,0.86%,100.00%,0,0.00%,"R$ 0,00",0
B0H5Z1XK3V,B0H5Z1XK3V,Coletor de Bitucas Inox de Chão Space Redondo com Tampa 27x92 cm para Empresas e Condomínios,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H62YWD84,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6365DBF,B0H6365DBF,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica,7,2.44%,8,2.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H63FKGPJ,B0H63FKGPJ,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido,27,9.41%,32,9.17%,96.88%,0,0.00%,"R$ 0,00",0
B0H63W8G49,B0H63W8G49,Lixeira Inox com Pedal 100 Litros 40x80 cm Aço 430 Polido Cilíndrica para Cozinha e Uso Profissional,13,4.53%,17,4.87%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C5CTSC,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,52,18.12%,71,20.34%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C894TV,B0H6C894TV,"Lixeira de Aço Inox 5 Litros com Tampa 16x23 cm Redonda para Banheiro, Cozinha e Escritório",1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C93M6Z,B0H6C93M6Z,Lixeira de Aço Inox 3 Litros 16x18 cm Redonda Sem Tampa para Banheiro e Escritório,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6CCHT65,B0H6CCHT65,Lixeira em Aço Inox 10 Litros 20x30 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,6,2.09%,8,2.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6GSX6YM,B0H6GSX6YM,Lixeira Basculante em Aço Inox 100 Litros 40x80 cm Redonda Tampa Vai e Vem para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6GWVPP5,B0H6GWVPP5,Lixeira em Aço Inox com Pedal e Alças 65 Litros 40x50 cm Redonda para Uso Profissional,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6GXK1SH,B0H6GXK1SH,Lixeira Basculante em Aço Inox 62 Litros 40x50 cm Redonda Tampa Vai e Vem para Uso Interno,1,0.35%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H6H1W988,B0H6H1W988,Lixeira Inox com Pedal e Alça 80 Litros 40x70 cm Redonda Prateada para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KLWTPC,B0H6KLWTPC,Lixeira Basculante Inox 25 Litros 24x50 Redonda Vai e Vem Tampa Flip Top Aço Inox Polido,3,1.05%,3,0.86%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KN61XR,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KPK494,B0H6KPK494,Lixeira Basculante em Aço Inox 13 Litros 24x25 cm Flip Top Redonda para Cozinha e Banheiro,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KT72NN,B0H6KT72NN,Lixeira Basculante em Aço Inox 5 Litros 16x23 cm Redonda Flip Top para Banheiro e Cozinha,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KTGGM8,B0H6KTGGM8,Lixeira Basculante em Aço Inox Redonda 27 Litros 24x60 cm Flip Top para Uso Interno,1,0.35%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
