Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
19 de ago. de 2026 - 25 de ago. de 2026,luminária de parede,"=""234950194216241""",campanha automática individual- SP-PP-o425/08,"=""559914515436204""",campanha automática individual- SP-PP-o425/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,80,1,1.30000,1.2500%,1.30,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 27 de ago. de 2026,lixeira com pedal,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P1623,BRL,6,1,0.79000,16.6667%,0.79,0.00,0.00000,0,0,0.0000%
11 de ago. de 2026 - 11 de ago. de 2026,lixeira 3 litros para pia de cozinha,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,1,1,0.52000,100.0000%,0.52,0.00,0.00000,0,0,0.0000%
21 de ago. de 2026 - 22 de ago. de 2026,arandela de parede quarto,"=""234950194216241""",campanha automática individual- SP-PP-o425/08,"=""559914515436204""",campanha automática individual- SP-PP-o425/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,3,1,0.90000,33.3333%,0.90,0.00,0.00000,0,0,0.0000%
25 de ago. de 2026 - 27 de ago. de 2026,B09Q6DTP8K,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2430-B,BRL,2,1,0.79000,50.0000%,0.79,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 9 de ago. de 2026,lixeira inox grande sem tampa,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2030,BRL,3,2,0.32000,66.6667%,0.64,0.00,0.00000,0,0,0.0000%
17 de ago. de 2026 - 17 de ago. de 2026,B0GR21DJC2,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0BKRC75MM""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,2,1,1.10000,50.0000%,1.10,0.00,0.00000,0,0,0.0000%
11 de ago. de 2026 - 25 de ago. de 2026,lixeira redonda,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L4050-B,BRL,5,1,0.58000,20.0000%,0.58,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 5 de set. de 2026,lixeira banheiro basculante,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2425-B,BRL,24,1,1.07000,4.1667%,1.07,0.00,0.00000,0,0,0.0000%
18 de ago. de 2026 - 21 de ago. de 2026,lixeira de cozinha de embutir 17cm,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,EMB-03P,BRL,2,2,0.56500,100.0000%,1.13,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 6 de set. de 2026,cinzeiro,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,"asin-expanded=""B07WSSFQNV""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2470-CZ,BRL,584,2,0.70000,0.3425%,1.40,0.00,0.00000,0,0,0.0000%
13 de ago. de 2026 - 6 de set. de 2026,lixeira cozinha inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,27,2,0.60000,7.4074%,1.20,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 5 de set. de 2026,B09XVP1BYN,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,16,1,0.71000,6.2500%,0.71,0.00,0.00000,0,0,0.0000%
