ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H4X43F5T,B0H4X43F5T,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem,4,0.93%,4,0.79%,100.00%,0,0.00%,"R$ 0,00",0
B0H4X46QCC,B0H4X46QCC,Coletor de Pilhas e Baterias Usadas Aço Inox 27 Litros 24x60 cm Papa Pilhas para Empresas,4,0.93%,6,1.18%,100.00%,0,0.00%,"R$ 0,00",0
B0H51H5B4D,B0H51H5B4D,Lixeira com Pedal em Aço Inox 10 Litros 20x30 cm Redonda para Banheiro e Escritório,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H51M7C59,B0H51M7C59,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem,3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H51P391G,B0H51P391G,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno,3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H51PF33S,B0H51PF33S,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem,3,0.70%,5,0.98%,100.00%,0,0.00%,"R$ 0,00",0
B0H52SC552,B0H52SC552,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa para Bancada Pequena,3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H5LJ939G,B0H5LJ939G,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H5M7DCH6,B0H5M7DCH6,Lixeira Basculante em Aço Inox 20 Litros 24x40 cm Redonda Flip Top para Cozinha e Banheiro,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MGK37B,B0H5MGK37B,Lixeira Basculante em Aço Inox 30 Litros 30x40 cm Redonda Flip Top para Uso Interno,3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H5N4TR7B,B0H5N4TR7B,"Lixeira em Aço Inox 5 Litros 16x23 cm Redonda Sem Tampa para Pia, Cozinha e Escritório",1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H5X821QS,B0H5X821QS,Coletor de Bitucas Space Fixa em Aço Inox Circular Prateada com Tampa para Áreas Externas,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H5X97DR7,B0H5X97DR7,Coletor de Bitucas Space de Parede em Aço Inox Polido com Tampa e Fixação para Paredes,16,3.72%,17,3.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H5YQ9JMJ,B0H5YQ9JMJ,Cinzeiro Lixeira Aço Inox 25 Litros 24x50 cm Redonda com Aro para Áreas Externas,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6365DBF,B0H6365DBF,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica,13,3.02%,16,3.15%,100.00%,0,0.00%,"R$ 0,00",0
B0H63W8G49,B0H63W8G49,Lixeira Inox com Pedal 100 Litros 40x80 cm Aço 430 Polido Cilíndrica para Cozinha e Uso Profissional,16,3.72%,16,3.15%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C894TV,B0H6C894TV,"Lixeira de Aço Inox 5 Litros com Tampa 16x23 cm Redonda para Banheiro, Cozinha e Escritório",7,1.63%,7,1.38%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C92MLT,B0H6C92MLT,Lixeira com Pedal e Alça em Aço Inox 40 Litros 30x50 cm Redonda para Cozinha e Escritório,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C93M6Z,B0H6C93M6Z,Lixeira de Aço Inox 3 Litros 16x18 cm Redonda Sem Tampa para Banheiro e Escritório,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6CCHT65,B0H6CCHT65,Lixeira em Aço Inox 10 Litros 20x30 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,7,1.63%,8,1.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H6GSX6YM,B0H6GSX6YM,Lixeira Basculante em Aço Inox 100 Litros 40x80 cm Redonda Tampa Vai e Vem para Uso Interno,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KFGC4J,B0H6KFGC4J,Lixeira Basculante em Aço Inox Redonda 35 Litros 30x50 cm Flip Top para Uso Interno,2,0.47%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KN61XR,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,3,0.70%,6,1.18%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KPK494,B0H6KPK494,Lixeira Basculante em Aço Inox 13 Litros 24x25 cm Flip Top Redonda para Cozinha e Banheiro,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KPN1XS,B0H6KPN1XS,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha,5,1.16%,8,1.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KT72NN,B0H6KT72NN,Lixeira Basculante em Aço Inox 5 Litros 16x23 cm Redonda Flip Top para Banheiro e Cozinha,5,1.16%,9,1.77%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KTGGM8,B0H6KTGGM8,Lixeira Basculante em Aço Inox Redonda 27 Litros 24x60 cm Flip Top para Uso Interno,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KY3BZD,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H6L3552G,B0H6L3552G,Lixeira Basculante em Aço Inox Redonda 7 Litros 20x25 cm Vai e Vem para Uso Interno,7,1.63%,10,1.97%,100.00%,0,0.00%,"R$ 0,00",0
B0H6MYJ5P3,B0H6MYJ5P3,Lixeira Aro Meia Lua em Aço Inox 24x30 15 Litros Escritório e Banheiro Design Compacto,1,0.23%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H6NFGH2Q,B0H6NFGH2Q,Lixeira Meia Lua em Aço Inox 40 Litros 30x60 cm Redonda Polida para Cozinha Banheiro Escritório,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6NM3QBS,B0H6NM3QBS,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno,1,0.23%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H6NPM4QL,B0H6NPM4QL,Lixeira Aro Meia Lua em Aço Inox 50 Litros 30x70 cm Polida para Cozinha e Escritório,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6QYZLYM,B0H6QYZLYM,Lixeira Aro em Aço Inox Polido 100 Litros 40x80 centímetros Prateada para Uso Interno,6,1.40%,6,1.18%,100.00%,0,0.00%,"R$ 0,00",0
B0H6R5SYVL,B0H6R5SYVL,"Lixeira Aro em Aço Inox 40 Litros 30x60 cm Prateada para Cozinhas, Escritórios e Clínicas",3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XM9LGJ,B0H6XM9LGJ,Lixeira Aro em Aço Inox 15 Litros Redonda 24x30 cm para Banheiro Cozinha Escritório,1,0.23%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XW8YF8,B0H6XW8YF8,Lixeira Aro em Aço Inox 10 Litros 20x30 cm Redonda Polida para Banheiro Cozinha e Escritório,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XX9VYL,B0H6XX9VYL,Lixeira Aço Inox 5 Litros com Aro 16x23 cm Redonda Polida Prateada para Banheiro e Lavabo,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XYM5GF,B0H6XYM5GF,"Lixeira Aço Inox 7 Litros com Aro 20x25 cm Redonda para Banheiro, Lavabo e Escritório",1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XYVBKH,B0H6XYVBKH,Lixeira Aro em Aço Inox 25 Litros 24x50 centímetros Redonda Polida para Uso Interno,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H72HJC34,B0H72HJC34,Lixeira com Pedal em Aço Inox 100 Litros 40x80 cm com Alças para Hospital Hotel Restaurante,4,0.93%,4,0.79%,100.00%,0,0.00%,"R$ 0,00",0
B0H735FC9N,B0H735FC9N,Lixeira Inox 60L com Pedal e Alça 30x70 Aço Inoxidável Polido Prateada para Uso Interno,3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H73CH37Y,B0H73CH37Y,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa Preta para Bancada Pequena,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H761RP63,B0H761RP63,Lixeira de Embutir Redonda 5L em Aço Inox para Pia de Cozinha com Balde Interno,3,0.70%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H77M42RM,B0H77M42RM,Lixeira de Embutir Redonda Inox 8 Litros para Pia Cozinha com Balde de Alumínio,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H7KWNLZ4,B0H7KWNLZ4,Lixeira Redonda com Pedal Aço Inox 15L 24x30 cm Tampa Higiênica Abertura Sem Contato,3,0.70%,4,0.79%,100.00%,0,0.00%,"R$ 0,00",0
B0H7L3J5DK,B0H7L3J5DK,Lixeira com Pedal em Aço Inox 80 Litros 40x70 cm Redonda Polida para Uso Interno,2,0.47%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H7L6HYFW,B0H7L6HYFW,Lixeira com Pedal em Aço Inox Pequena 07L 20x25 cm Tampa com Abertura Higiênica,2,0.47%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LFY3JP,B0H7LFY3JP,Lixeira com Pedal em Aço Inox 30 Litros 30x40 cm Redonda Polida com Aro Removível,2,0.47%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LG2168,B0H7LG2168,Lixeira Inox Polido com Pedal 12 Litros 24x25 cm para Banheiro Cozinha Escritório,2,0.47%,4,0.79%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LGF1WN,B0H7LGF1WN,Lixeira Redonda com Pedal em Aço Inox 20L 24x40 cm Tampa com Abertura Higiênica,3,0.70%,4,0.79%,100.00%,0,0.00%,"R$ 0,00",0
B0H7XXH5GV,B0H7XXH5GV,Lixeira Aro Quadrada em Aço Inox 15 Litros 24x30 cm Polida para Banheiro Escritório Cozinha,2,0.47%,3,0.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H7YNMBBK,B0H7YNMBBK,Lixeira Basculante Quadrada em Aço Inox 30 Litros 24x60 cm com Tampa Flip Top Polida,31,7.21%,33,6.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H7Z38T63,B0H7Z38T63,Lixeira Quadrada Basculante em Aço Inox 100 Litros 40x70 cm Tampa Vai-Vem Polida,5,1.16%,5,0.98%,100.00%,0,0.00%,"R$ 0,00",0
B0H7ZGZ8DK,B0H7ZGZ8DK,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível,6,1.40%,6,1.18%,83.33%,0,0.00%,"R$ 0,00",0
