Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
8 de jul. de 2026 - 1 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0GZJ412QP""",TARGETING_EXPRESSION,137721240581047,0.69,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
20 de jun. de 2026 - 28 de jul. de 2026,"=""145964185460140""",campanha automática individual- P3070-o116/07,"=""429470627552062""",campanha automática individual- P3070-o116/07,,complements,TARGETING_EXPRESSION_PREDEFINED,470222648019481,1.1,1383289894499,campanha automatica individual,BRL,367,1,0.2725%,1.42000,1.42,0.00,0,0.0000%,0,0.00000
22 de jun. de 2026 - 11 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""113839187289861""",Campanha de Produto Indicado- P3050-o425/08,,"asin-expanded=""B0CWBR5Z9F""",TARGETING_EXPRESSION,246288211908786,0.55,146788124202114,campanha de produto indicado,BRL,502,0,0.0000%,,0.00,0.00,0,,0,
25 de ago. de 2026 - 4 de set. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,,coletor de bitucas,EXACT,124912267277916,1.2,99873185432506,Campanhas Manuais Claude,BRL,4,0,0.0000%,,0.00,0.00,0,,0,
20 de jun. de 2026 - 7 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0F4T8FCDD""",TARGETING_EXPRESSION,160398547205471,1.1,146788124202114,campanha de produto indicado,BRL,867,3,0.3460%,1.11333,3.34,0.00,0,0.0000%,0,0.00000
19 de jun. de 2026 - 10 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0FX37MH6M""",TARGETING_EXPRESSION,120539370606006,0.69,146788124202114,campanha de produto indicado,BRL,59,0,0.0000%,,0.00,0.00,0,,0,
21 de jun. de 2026 - 7 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0GZ59P5FC""",TARGETING_EXPRESSION,107952825043951,1.0,146788124202114,campanha de produto indicado,BRL,133,3,2.2556%,0.97667,2.93,0.00,0,0.0000%,0,0.00000
17 de jun. de 2026 - 10 de ago. de 2026,"=""245513710362262""",Campanha de Palavra-Chave- L2030-B-o103/07,"=""7667999543220""",Campanha de Palavra-Chave- L2030-B-o103/07,,lixeira basculante 10 litros,PHRASE,29550594764214,1.2,178029480993742,campanha de palavra chave,BRL,24,0,0.0000%,,0.00,0.00,0,,0,
18 de jun. de 2026 - 23 de ago. de 2026,"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,"=""107384110271466""",Campanha de Produto Indicado- PXP-o103/07,,"asin-expanded=""B08B7VD1RX""",TARGETING_EXPRESSION,131527396978143,0.92,146788124202114,campanha de produto indicado,BRL,22,0,0.0000%,,0.00,0.00,0,,0,
15 de jun. de 2026 - 8 de jul. de 2026,"=""52889788605088""",Campanha de Categoria- L1618-A-o108/07,"=""43224661087747""",Campanha de Categoria- L1618-A-o108/07,,"category=""Recipientes para Lixo e Reciclagem""",TARGETING_EXPRESSION,11795167014920,0.58,160228624383420,campanha de categoria,BRL,643,8,1.2442%,0.49625,3.97,0.00,0,0.0000%,0,0.00000
