Estado,Nome da campanha,País,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Visualizações da página de detalhes,Visualizações da página da Brand Store,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Alcance do usuário,Alcance por domicílio,Impressões visíveis,CPM (convertido),CPM,CPM visível (vCPM) (convertido),CPM visível (vCPM),Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Distribuição visível,CTR visível (vCTR)
PAUSADO,campanha automática individual- L2450-AML-o102/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- SP-01-o228/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 40,00","R$ 40,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- SP-01-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- SP-01-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,campanha automática individual- SP-01-o116/07,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L2450--CZ-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- L2450--CZ-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- L2450--CZ-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,campanha automática individual- L2450--CZ-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- SP-FF-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- SP-PP-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- SP-FF-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- SP-PP-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- SP-FF-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- SP-PP-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,campanha automática individual- SP-FF-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,campanha automática individual- SP-PP-o425/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,7,"0,0006","R$ 8,98","R$ 8,98","R$ 1,28","R$ 1,28",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
