Estado,Nome da campanha,País,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Visualizações da página de detalhes,Visualizações da página da Brand Store,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Alcance do usuário,Alcance por domicílio,Impressões visíveis,CPM (convertido),CPM,CPM visível (vCPM) (convertido),CPM visível (vCPM),Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Distribuição visível,CTR visível (vCTR)
PAUSADO,campanha automática individual- L2450-AML-o102/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,15,"0,0030","R$ 15,34","R$ 15,34","R$ 1,02","R$ 1,02",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- SP-01-o228/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 40,00","R$ 40,00",CPC,0,<5%,0,7,"0,0026","R$ 5,73","R$ 5,73","R$ 0,82","R$ 0,82",0,0,1,"R$ 475,31","R$ 475,31",0,82.95113438045377,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- SP-01-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,5,"0,0005","R$ 4,64","R$ 4,64","R$ 0,93","R$ 0,93",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- SP-01-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,campanha automática individual- SP-01-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,7,"0,0018","R$ 5,86","R$ 5,86","R$ 0,84","R$ 0,84",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L2450--CZ-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,4,"0,0018","R$ 3,50","R$ 3,50","R$ 0,88","R$ 0,88",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- L2450--CZ-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,8,"0,0004","R$ 3,71","R$ 3,71","R$ 0,46","R$ 0,46",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- L2450--CZ-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,campanha automática individual- L2450--CZ-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,14,"0,0013","R$ 11,55","R$ 11,55","R$ 0,82","R$ 0,82",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- SP-FF-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,5,"0,0037","R$ 3,20","R$ 3,20","R$ 0,64","R$ 0,64",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- SP-PP-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,2,"0,0010","R$ 1,19","R$ 1,19","R$ 0,59","R$ 0,59",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- SP-FF-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,7,"0,0005","R$ 5,98","R$ 5,98","R$ 0,85","R$ 0,85",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- SP-PP-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,10,"0,0008","R$ 8,12","R$ 8,12","R$ 0,81","R$ 0,81",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- SP-FF-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Palavra-Chave- SP-PP-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,"58,33%",0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,campanha automática individual- SP-FF-o116/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,5,"0,0011","R$ 3,33","R$ 3,33","R$ 0,67","R$ 0,67",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,campanha automática individual- SP-PP-o59/09,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,25,"0,0006","R$ 26,04","R$ 26,04","R$ 1,04","R$ 1,04",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L1618-A-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,12,"0,0341","R$ 5,62","R$ 5,62","R$ 0,47","R$ 0,47",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- PXP-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,"21,10%",0,8,"0,0072","R$ 4,93","R$ 4,93","R$ 0,62","R$ 0,62",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- PXM-o311/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 40,00","R$ 40,00",CPC,0,"11,37%",0,7,"0,0028","R$ 5,50","R$ 5,50","R$ 0,79","R$ 0,79",0,0,1,"R$ 203,54","R$ 203,54",0,37.00727272727273,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- L2030-B-o311/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 40,00","R$ 40,00",CPC,0,<5%,0,16,"0,0069","R$ 11,89","R$ 11,89","R$ 0,74","R$ 0,74",0,0,3,"R$ 497,34","R$ 497,34",0,41.82842724978973,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L2470-CZ-o425/08,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,"12,47%",0,19,"0,0025","R$ 13,27","R$ 13,27","R$ 0,70","R$ 0,70",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L2440-AML-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,17,"0,0036","R$ 19,93","R$ 19,93","R$ 1,17","R$ 1,17",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L2470-B-o115/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,45,"0,0038","R$ 39,91","R$ 39,91","R$ 0,89","R$ 0,89",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L1618-T-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,13,"0,0086","R$ 10,08","R$ 10,08","R$ 0,78","R$ 0,78",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- PG3070-o425/08,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,"13,63%",0,8,"0,0024","R$ 6,70","R$ 6,70","R$ 0,84","R$ 0,84",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- L1618-A-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,8,"0,0100","R$ 3,97","R$ 3,97","R$ 0,50","R$ 0,50",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- PXP-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- PXM-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- L2030-B-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 5,00","R$ 5,00",CPC,0,<5%,0,26,"0,0020","R$ 22,37","R$ 22,37","R$ 0,86","R$ 0,86",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- L2470-CZ-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,9,"0,0003","R$ 7,10","R$ 7,10","R$ 0,79","R$ 0,79",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
