Estado,Nome da campanha,ID da campanha,campaignExternalId,País da campanha,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Ajuste de lance para o topo da pesquisa,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,CPM (convertido),CPM,Cliques,CTR visível (vCTR),CTR,CPC (convertido),CPC,CPM visível (vCPM) (convertido),CPM visível (vCPM),Distribuição visível,Impressões visíveis,Custo total (convertido),Custo total,Alcance do usuário,Alcance por domicílio,Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Visualizações da página de detalhes,Visualizações da página de detalhes (clientes novos para a marca),Adicionar ao carrinho,Adições ao carrinho (cliente novo para a marca),Pesquisas de marcas,Pesquisas de marca (clientes novos para a marca),Visualizações da página da Brand Store,Visualizações da página da Brand Store (clientes novos para a marca),Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Marca,Parcela de impressões no topo da pesquisa
PAUSADO,Campanha de Categoria- L2440-AML-o108/07,A015296830O9PUFU1SQF5,201318298593809,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Categoria- L2450--CZ-o108/07,A09977152HSJEIAHVAYDC,115352191986775,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
ATIVADO,Campanha de Produto Indicado- PXM-o311/08,A04439153JZKYP5MW4JCW,957557930999,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 40,00","R$ 40,00",CPC,0,,,1,0,"0,0031","R$ 0,43","R$ 0,43",,,0,0,"R$ 0,43","R$ 0,43",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,"24,14%"
PAUSADO,Campanha de Produto Indicado- SP-01-o228/07,A02415351BZSNN7BHZZ12,191419563474871,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 40,00","R$ 40,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha de categoria- P3060-o108/07,A04359202S4WELM32LSV3,28217701710072,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),12/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Palavra-Chave- P3070-o116/07,A01278123DJRQWVJHGL0T,19556674217425,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Palavra-Chave- L2440-AML-o103/07,A06566361ECCLLPM2J9T2,70139439261043,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
ATIVADO,campanha automática individual- SP-PP-o59/09,A05648093R0GDUJ9YPVWK,234950194216241,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Categoria- SP-01-o108/07,A0897564NVP88TASUZ03,46394093147862,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automática inidividual- SP-P,A08558963IMW39QLXI11P,278724655410352,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automática individual- PG3070-o425/08,A0176843QRZKKBVEMYWO,58296046930587,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Palavra-Chave- L2450--CZ-o116/07,A09210031CZU3QQD8KU9X,127101313485538,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
